x_west,flux_west,x_east,flux_east,x_west,Tw_west,x_west,Tf_west,x_east,Tf_east,x_east,Tw_east
10.5444651658,0.2268408151,66.3192566793,0.5004539274,12.43215927,496.1519105,22.77639032,371.9986444,41.8110732438,438.866910592,21.3072000809,421.2844421049
10.8510332077,0.2486025979,65.8449441371,0.4897848878,12.62331684,506.3271202,23.06312667,373.1505549,42.360567962,439.6675759794,21.5842180793,433.2659379925
10.9519533124,0.2675800519,65.4951474683,0.4724836669,12.7275846,514.2465051,23.34986302,373.7788698,42.9100626802,440.5698309544,21.8544241598,446.0349025809
11.0527532537,0.2843943922,65.2755695803,0.4535127605,12.83185236,521.7339236,23.63659937,374.8784207,43.4595573984,441.624470311,22.1110064042,459.3121139005
11.128563324,0.3007875061,65.0912865186,0.4362217831,12.88398625,527.0615098,23.92333572,375.5852749,44.0090521166,443.2378523996,22.3733913936,472.6258830853
11.2377568517,0.3188876753,64.8982926079,0.4189425125,13.02735442,535.8242578,24.21007207,376.5277472,44.5585468348,444.8004396945,22.5787581065,485.3405365301
11.3589816312,0.3395522556,64.7445234646,0.4024183321,13.11858871,542.9002796,24.49680842,377.889096,45.108041553,446.464616577,22.7785743677,497.698337182
11.4563924737,0.3595625689,64.5943236449,0.3860697539,13.30974628,550.9636533,24.78354477,378.7530289,45.6575362712,448.2811778409,22.956188822,509.1176265531
11.5572816792,0.3779837936,64.4690877689,0.3702866153,13.47396801,560.8508854,25.07028112,380.6379734,46.2070309895,450.2501234864,23.17820689,522.0647242782
11.6331508012,0.3954399234,64.3188579416,0.3530038327,13.62689406,569.6821994,25.35701747,382.1040413,46.7565257077,452.168274338,23.3780231512,534.5622106131
11.733980955,0.4127981323,64.1685554643,0.333459292,13.82239612,578.6095061,25.64375382,383.5701093,47.3060204259,454.5435783341,23.602816445,547.6318604614
11.8266262635,0.4326281496,64.0182371936,0.3134230646,14.03093165,588.5447344,25.93049017,386.528425,47.8555151441,457.0204719178,23.8525867714,561.036208162
11.9610444958,0.4553768873,63.867930768,0.2937556022,14.27856758,597.5636703,26.21722652,387.4708972,48.4050098623,459.3449811201,24.1227928519,573.8610470236
12.0620641645,0.4761466354,63.7176164457,0.2738422965,14.56530393,605.4699653,26.50396287,387.9683131,48.9545045805,461.3139267655,24.3438017468,585.3245356118
12.1659631775,0.4988117902,63.5673021233,0.2539289908,14.81293987,611.0069897,26.79069922,389.2511226,49.5039992987,463.282872411,24.6768288487,598.5496787107
12.2767618596,0.5208385793,63.4169759559,0.2336469202,15.06057581,616.203677,27.07743557,390.298314,50.0534940169,464.9978440873,25.1264154364,610.7668510591
